ts_iso,session_id,request_id,task_code,step,outcome,ms,http_status,js_mode
2025-10-22T14:00:00Z,P1_post_a1f2,r101,T1_filter,start,ok,0,200,htmx
2025-10-22T14:00:08Z,P1_post_a1f2,r102,T1_filter,success,ok,8000,200,htmx
2025-10-22T14:00:20Z,P1_post_a1f2,r103,T2_edit,start,ok,0,200,htmx
2025-10-22T14:00:26Z,P1_post_a1f2,r104,T2_edit,success,ok,6000,200,htmx
2025-10-22T14:00:35Z,P1_post_a1f2,r105,T3_delete,start,ok,0,200,htmx
2025-10-22T14:00:39Z,P1_post_a1f2,r106,T3_delete,success,ok,4000,200,htmx
2025-10-22T14:10:00Z,P2_post_b3d4,r107,T1_filter,start,ok,0,200,nojs
2025-10-22T14:10:13Z,P2_post_b3d4,r108,T1_filter,success,ok,13000,200,nojs
2025-10-22T14:10:30Z,P2_post_b3d4,r109,T2_edit,start,ok,0,200,nojs
2025-10-22T14:10:39Z,P2_post_b3d4,r110,T2_edit,success,ok,9000,200,nojs
2025-10-22T14:10:55Z,P2_post_b3d4,r111,T3_delete,start,ok,0,200,nojs
2025-10-22T14:11:01Z,P2_post_b3d4,r112,T3_delete,success,ok,6000,200,nojs
2025-10-22T14:20:00Z,P3_post_c5e6,r113,T1_filter,start,ok,0,200,htmx
2025-10-22T14:20:10Z,P3_post_c5e6,r114,T1_filter,success,ok,10000,200,htmx
2025-10-22T14:20:25Z,P3_post_c5e6,r115,T2_edit,start,ok,0,200,htmx
2025-10-22T14:20:32Z,P3_post_c5e6,r116,T2_edit,success,ok,7000,200,htmx
2025-10-22T14:20:45Z,P3_post_c5e6,r117,T3_delete,start,ok,0,200,htmx
2025-10-22T14:20:49Z,P3_post_c5e6,r118,T3_delete,success,ok,4000,200,htmx
2025-10-22T14:30:00Z,P4_post_d7f8,r119,T1_filter,start,ok,0,200,htmx
2025-10-22T14:30:09Z,P4_post_d7f8,r120,T1_filter,success,ok,9000,200,htmx
2025-10-22T14:30:22Z,P4_post_d7f8,r121,T2_edit,start,ok,0,200,htmx
2025-10-22T14:30:28Z,P4_post_d7f8,r122,T2_edit,success,ok,6000,200,htmx
2025-10-22T14:30:40Z,P4_post_d7f8,r123,T3_delete,start,ok,0,200,htmx
2025-10-22T14:30:44Z,P4_post_d7f8,r124,T3_delete,success,ok,4000,200,htmx
2025-10-22T14:40:00Z,P5_post_e9g0,r125,T1_filter,start,ok,0,200,nojs
2025-10-22T14:40:14Z,P5_post_e9g0,r126,T1_filter,success,ok,14000,200,nojs
2025-10-22T14:40:32Z,P5_post_e9g0,r127,T2_edit,start,ok,0,200,nojs
2025-10-22T14:40:41Z,P5_post_e9g0,r128,T2_edit,success,ok,9000,200,nojs
2025-10-22T14:40:58Z,P5_post_e9g0,r129,T3_delete,start,ok,0,200,nojs
2025-10-22T14:41:04Z,P5_post_e9g0,r130,T3_delete,success,ok,6000,200,nojs
