ts_iso,session_id,request_id,task_code,step,outcome,ms,http_status,js_mode
2025-10-15T14:00:00Z,P1_7a9f,r001,T1_filter,start,ok,0,200,htmx
2025-10-15T14:00:12Z,P1_7a9f,r002,T1_filter,success,ok,12000,200,htmx
2025-10-15T14:00:30Z,P1_7a9f,r003,T2_edit,start,ok,0,200,htmx
2025-10-15T14:00:38Z,P1_7a9f,r004,T2_edit,success,ok,8000,200,htmx
2025-10-15T14:01:00Z,P1_7a9f,r005,T3_delete,start,ok,0,200,htmx
2025-10-15T14:01:05Z,P1_7a9f,r006,T3_delete,success,ok,5000,200,htmx
2025-10-15T14:10:00Z,P2_3c8d,r007,T1_filter,start,ok,0,200,nojs
2025-10-15T14:10:18Z,P2_3c8d,r008,T1_filter,success,ok,18000,200,nojs
2025-10-15T14:10:40Z,P2_3c8d,r009,T2_edit,start,ok,0,200,nojs
2025-10-15T14:10:52Z,P2_3c8d,r010,T2_edit,success,ok,12000,200,nojs
2025-10-15T14:11:10Z,P2_3c8d,r011,T3_delete,start,ok,0,200,nojs
2025-10-15T14:11:17Z,P2_3c8d,r012,T3_delete,success,ok,7000,200,nojs
2025-10-15T14:20:00Z,P3_5k2m,r013,T1_filter,start,ok,0,200,htmx
2025-10-15T14:20:15Z,P3_5k2m,r014,T1_filter,success,ok,15000,200,htmx
2025-10-15T14:20:35Z,P3_5k2m,r015,T2_edit,start,ok,0,200,htmx
2025-10-15T14:20:50Z,P3_5k2m,r016,T2_edit,validation_error,blank_title,15000,422,htmx
2025-10-15T14:21:05Z,P3_5k2m,r017,T2_edit,success,ok,15000,200,htmx
2025-10-15T14:21:25Z,P3_5k2m,r018,T3_delete,start,ok,0,200,htmx
2025-10-15T14:21:30Z,P3_5k2m,r019,T3_delete,success,ok,5000,200,htmx
